filename, Bed-bug, Bee-bite, Beetle, Chigger-bites, Conenose Bite, Fire-Ant, Fleas, Gnat-bites, Horse-Fly, Lice, Midges, Mites, Mosquito, Scabies, Scorpion, Spider, Tick, Wasp, Yellow-Jacket, bedbug
fire-ant-3_jpg.rf.d4633e219967cf0bf33458e77ab31d67.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screenshot--34-_png.rf.d5c08e0318e2ec730c6d479090652dee.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
IMG-3072_JPG.rf.db83fb6d5606553293a7d5aef32c1ace.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
beetle-13_jpg.rf.df6513b37376c07cc548a7977d5ee7db.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
mite-9_jpg.rf.d33003b6fced5a6f785210962383a85d.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
yellow-jacket-bug-bites5_jpg.rf.d36099bdb5c3b47897eee88c7175acda.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Screenshot--8-_png.rf.e4d9f1c6c3b0e577c452a09f5225581e.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG-3118_JPG.rf.def4864fc5ba77e259daf548a0eb0e0f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
gnat-bites84_jpg.rf.e4d0866d0b0fcb394555894368da643e.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screenshot--31-_png.rf.e43b1ea634b26c996d26e09ce40ea322.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Screenshot--3-_png.rf.e40632df878dfbdb7da1a95eed89fc3d.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screenshot--35-_png.rf.e3193cf2391d62f83870cfa111db3283.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Screenshot--19-_png.rf.e2d684d0681daec3e942cae4ee3ed37c.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screenshot--25-_png.rf.de76ea9eec3c2911a5a093ee08a71061.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
gnat-bites48_jpg.rf.e0e19e38ea52d3ecf8a7c920db298aa1.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screenshot--11-_png.rf.e57184508e7ad898f8eb0d41a3c002d7.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screenshot--24-_png.rf.d55d5f044f14c4df9cdbe01912f5eef8.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screenshot--28-_png.rf.d6f18d44ae158eac4cc869efaf1589c7.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bites-4_jpg.rf.d4f571c68864046a48b79bcf6fd5ac20.jpg, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
Screenshot--17-_png.rf.d8f22d08c440ce5f43157e7751b1425d.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
gnat-bites22_jpg.rf.d63d80bbc83de2b5556b822214a3d446.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
th--3-_jpeg.rf.de6d1c635f2137cd5fecc5867030e863.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
th--7-_jpeg.rf.d76e4c2a120c2407d83e2d057bf7f8bc.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
gnat-bites6_jpg.rf.e075b248fae28f982118a5dd5cf87652.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Screenshot--29-_png.rf.dd690dd04ba99edaf2944e24808c477f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
